Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.83274E-6,0.000183274,0.005983183,1,0,0
3.27789E-6,0.000511063,0.01067578,0.999900309,0,0
3.70599E-6,0.001251561,0.012061615,0.999700927,0,0
3.99608E-6,0.002816484,0.012999597,0.999302163,0,0
4.31042E-6,0.005325344,0.014014989,0.998704018,0,0
4.58028E-6,0.010227856,0.01488583,0.997607417,0,0
5.24505E-6,0.025118687,0.017027833,0.994616688,0,0
5.77052E-6,0.050576534,0.018717706,0.990030904,0,0
6.62661E-6,0.100117898,0.021464577,0.982055628,0,0
7.85005E-6,0.20062925,0.025376817,0.968397966,0,0
8.49366E-6,0.300669168,0.027428603,0.956235669,0,0
9.22779E-6,0.400893872,0.029763709,0.944970591,0,0
9.84002E-6,0.500129609,0.03170681,0.934602732,0,0
1.05117E-5,0.600723943,0.033833954,0.924733327,0,0
1.10218E-5,0.700804164,0.035446478,0.915462068,0,0
1.11973E-5,0.750826553,0.036000541,0.910975974,0,0
1.14301E-5,0.800616474,0.036735337,0.906589572,0,0
1.19265E-5,0.901170625,0.038299771,0.89801615,0,0
1.22241E-5,1.000091424,0.039236302,0.889841491,0,0
1.25905E-5,1.10054968,0.040388187,0.881766524,0,0
1.29826E-5,1.200319949,0.041619407,0.873990629,0,0
1.33688E-5,1.300387538,0.042830877,0.866414116,0,0
1.36555E-5,1.400376986,0.043728945,0.859036985,0,0
1.3954E-5,1.501066894,0.044663114,0.851759545,0,0
1.48232E-5,1.750140113,0.047378204,0.83451301,0,0
1.56892E-5,2.000014082,0.050075592,0.818163693,0,0
1.65226E-5,2.251501665,0.052664334,0.802611903,0,0
1.72215E-5,2.501531293,0.054829824,0.787857641,0,0
1.77701E-5,2.751690816,0.056526397,0.773601834,0.032258065,0
1.82797E-5,3.000568739,0.0580992,0.759844482,0.032258065,0
1.88251E-5,3.250802358,0.059779931,0.746386203,0.032258065,0
1.92696E-5,3.500399215,0.061147306,0.733326687,0.032258065,0
1.9771E-5,3.751883011,0.062687456,0.720466554,0.032258065,0
2.01827E-5,4.001801134,0.06395034,0.708005184,0.032258065,0
2.0633E-5,4.25099965,0.065329405,0.695842887,0.032258065,0
2.11143E-5,4.501692385,0.066801318,0.683879972,0.032258065,0
2.15953E-5,4.751748191,0.068269943,0.67221613,0.032258065,0
2.2072E-5,5.000711912,0.069723096,0.660851361,0.032258065,0
2.2649E-5,5.2513825,0.071478922,0.649685973,0.032258065,0
2.31874E-5,5.501380409,0.073114583,0.638819659,0.032258065,0
2.37453E-5,5.750116855,0.074806056,0.628252418,0.032258065,0
2.42886E-5,6.002012661,0.076450528,0.617784867,0.032258065,0
2.49062E-5,6.250403797,0.078316395,0.60771608,0.032258065,0
2.53551E-5,6.501899134,0.079670206,0.597746984,0.032258065,0
2.6048E-5,6.750820397,0.081756023,0.588076961,0.032258065,0
2.66926E-5,7.001648616,0.083692044,0.57860632,0.032258065,0
2.72678E-5,7.252300477,0.085416095,0.569335061,0.032258065,0
2.78283E-5,7.50264781,0.087093217,0.560263184,0.032258065,0
2.84093E-5,7.750067188,0.088828189,0.55149038,0.032258065,0
2.90698E-5,8.000034661,0.090796932,0.542817266,0.032258065,0
2.97146E-5,8.250219872,0.092714289,0.534343535,0.032258065,0
3.04245E-5,8.502953344,0.094820847,0.525969495,0.032258065,0
3.10162E-5,8.751576383,0.096573014,0.517894527,0.032258065,0
3.16719E-5,9.002144002,0.098510761,0.50991925,0.032258065,0
3.23571E-5,9.25165277,0.100531023,0.502143356,0.032258065,0
3.28548E-5,9.502787459,0.101995699,0.494467152,0.032258065,0
3.3386E-5,9.751515602,0.103556247,0.48699033,0.032258065,0
3.39862E-5,10.000628107,0.105316351,0.479613199,0.032258065,0
3.44535E-5,10.250448525,0.106684213,0.472335759,0.032258065,0
3.49779E-5,10.50052853,0.108216746,0.46515801,0.032258065,0
3.57068E-5,10.751446309,0.110342717,0.458079952,0.032258065,0
3.64312E-5,11.000433583,0.112450537,0.451201276,0.032258065,0
3.69851E-5,11.250117853,0.114058728,0.444422291,0.032258065,0
3.77619E-5,11.50046771,0.116309381,0.437742997,0.032258065,0
3.86232E-5,11.752883928,0.118798223,0.431163393,0.032258065,0
3.92544E-5,12.002162202,0.12061746,0.424783172,0.032258065,0
3.98651E-5,12.251511334,0.122374103,0.418502642,0.032258065,0
4.04188E-5,12.500593631,0.123964093,0.412321802,0.032258065,0
4.09202E-5,12.752808159,0.125401096,0.406140963,0.032258065,0.333333333
4.16812E-5,13.000400234,0.127577765,0.400159506,0.032258065,0.333333333
4.23931E-5,13.252795125,0.12960895,0.394178048,0.032258065,0.333333333
4.30655E-5,13.500372204,0.131523165,0.388395972,0.032258065,0.333333333
4.401E-5,13.752803869,0.134205017,0.382613897,0.032258065,0.333333333
4.51489E-5,14.00258426,0.137427684,0.377031203,0.064516129,0.333333333
4.62465E-5,14.253955313,0.140522322,0.371548201,0.064516129,0.333333333
4.6941E-5,14.501026212,0.142474476,0.36626458,0.064516129,0.333333333
4.7873E-5,14.752191229,0.145087677,0.360980959,0.064516129,0.333333333
4.91752E-5,15.004266122,0.148725051,0.355797029,0.064516129,0.333333333
5.01339E-5,15.252738678,0.151393301,0.350812481,0.064516129,0.333333333
5.11126E-5,15.500671536,0.154108325,0.345927624,0.064516129,0.333333333
5.20835E-5,15.753216368,0.156793266,0.341042767,0.064516129,0.333333333
5.29813E-5,16.005230805,0.159268457,0.336257601,0.064516129,0.333333333
5.41108E-5,16.251906699,0.162372211,0.331671817,0.064516129,0.333333333
5.49936E-5,16.502721933,0.164790096,0.327086033,0.096774194,0.333333333
5.6063E-5,16.752567152,0.167709393,0.32259994,0.096774194,0.333333333
5.70558E-5,17.001269423,0.170410708,0.318213538,0.096774194,0.333333333
5.80763E-5,17.254547821,0.173178314,0.313827136,0.096774194,0.333333333
5.8808E-5,17.505871447,0.175156682,0.309540425,0.096774194,0.333333333
5.98722E-5,17.755462834,0.178026135,0.305353404,0.096774194,0.333333333
6.06916E-5,18.00268647,0.180228506,0.301266075,0.096774194,0.333333333
6.16727E-5,18.2533509,0.182857761,0.297178746,0.096774194,0.333333333
6.28397E-5,18.50286022,0.185974446,0.293191108,0.096774194,0.333333333
6.39035E-5,18.750142902,0.18880491,0.28930316,0.096774194,0.333333333
6.49336E-5,19.001554972,0.191536399,0.285415213,0.096774194,0.333333333
6.58119E-5,19.256281026,0.193858179,0.281527265,0.096774194,0.333333333
6.67892E-5,19.501704288,0.196433885,0.2778387,0.096774194,0.333333333
6.79517E-5,19.751361338,0.199486713,0.274150135,0.096774194,0.333333333
6.86658E-5,20.003846115,0.20135651,0.270461569,0.096774194,0.333333333
6.95495E-5,20.252747853,0.203664094,0.266872695,0.096774194,0.333333333
7.06238E-5,20.505094762,0.206460305,0.26328382,0.096774194,0.333333333
7.16422E-5,20.754098142,0.209102222,0.259794637,0.096774194,0.333333333
7.27254E-5,21.006940072,0.211902421,0.256305453,0.096774194,0.333333333
7.43105E-5,21.257224034,0.215982334,0.252915961,0.096774194,0.333333333
7.55098E-5,21.50479114,0.219055029,0.249626159,0.096774194,0.333333333
7.7035E-5,21.756735256,0.222945387,0.246336357,0.096774194,0.333333333
7.82599E-5,22.005416854,0.226056021,0.243146247,0.096774194,0.333333333
7.95662E-5,22.250215555,0.229359272,0.240055827,0.096774194,0.333333333
8.1202E-5,22.507479004,0.23347597,0.236865716,0.096774194,0.333333333
8.24525E-5,22.752961928,0.236608348,0.233874988,0.096774194,0.333333333
8.40429E-5,23.002872971,0.240573499,0.230884259,0.096774194,0.333333333
8.51998E-5,23.256782773,0.243444716,0.22789353,0.096774194,0.333333333
8.73628E-5,23.507451835,0.248784271,0.225002492,0.096774194,0.333333333
8.93299E-5,23.75494172,0.253607338,0.222211145,0.096774194,0.333333333
9.1087E-5,24.00824454,0.257889327,0.219419799,0.096774194,0.333333333
9.21944E-5,24.255747324,0.260575424,0.216728143,0.096774194,0.333333333
9.35801E-5,24.507198877,0.263922812,0.214036487,0.096774194,0.333333333
9.50158E-5,24.752700477,0.267375073,0.211444522,0.096774194,0.333333333
9.57642E-5,25.00082915,0.269168351,0.208852557,0.096774194,0.333333333
9.72972E-5,25.252299686,0.272827549,0.206260592,0.096774194,0.333333333
