AT1G01280	locus:2035267	CYP703A2	cytochrome P450, family 703, subfamily A, polypeptide 2	1685	Chr1	112263	113947	A. thaliana	cytochrome P450, family 703, subfamily A, polypeptide 2;(source:Araport11)	member of CYP703A  CYP703A2 is expressed specifically in anthers of land plants, catalyzing the in-chain hydroxylation at the C-7 position of medium-chain saturated fatty acids (lauric acid in-chain hydroxylase) which is involved in pollen development (sporopollenin synthesis).	cytochrome P450, family 703, subfamily A, polypeptide 2	CYP703, CYP703A2
AT1G01630	locus:2198135	AT1G01630	""	2181	Chr1	228799	230979	A. thaliana	Sec14p-like phosphatidylinositol transfer family protein;(source:Araport11)	""	Sec14p-like phosphatidylinositol transfer family protein	""
AT1G01690	locus:2198200	PRD3	putative recombination initiation defects 3	3482	Chr1	249041	252522	A. thaliana	putative recombination initiation defects 3;(source:Araport11)	Encodes a novel plant-specific protein that is involved in meiotic double strand break formation.	putative recombination initiation defects 3	ATPRD3, PRD3
AT1G01880	locus:2025447	AT1G01880	""	3075	Chr1	306467	309541	A. thaliana	5-3 exonuclease family protein;(source:Araport11)	Encodes one of two GEN1 homologs in Arabidopsis.  It is a member of the class IV Rad2/XPG family of nucleases that processes Holliday junctions in a manner analogous to the HJ resolvases of phages, archaea, and bacteria.	5'-3' exonuclease family protein	AtGEN1, GEN1
AT1G01940	locus:2025492	AT1G01940	""	2032	Chr1	322886	324917	A. thaliana	Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein;(source:Araport11)	""	Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein	""
AT1G02140	locus:2205630	MAGO	MAGO NASHI	1357	Chr1	403100	404456	A. thaliana	mago nashi family protein;(source:Araport11)	Encodes a homologue of the exon junction complex (EJC) component MAGO that participates in intron-mediated enhancement of gene expression.	mago nashi family protein	HAP1, MAGO, MEE63
AT1G02290	locus:2204868	AT1G02290	""	2283	Chr1	450461	452743	A. thaliana	hypothetical protein;(source:Araport11)	""	""	""
AT1G03930	locus:2024147	ADK1	dual specificity kinase 1	3683	Chr1	1004688	1008370	A. thaliana	dual specificity kinase 1;(source:Araport11)	Phosphorylates serine, threonine, and tyrosine	dual specificity kinase 1	ADK1, CKL9ALPHA, CKL9BETA
AT1G04020	locus:2024244	BARD1	breast cancer associated RING 1	3770	Chr1	1036493	1040262	A. thaliana	breast cancer associated RING 1;(source:Araport11)	Encodes a protein containing two tandem BRCA1 C-Terminal (BRCT) domains, which function in phosphorylation-dependent protein-protein interactions. Loss of function mutations cause defects in meristem organization due to failure to repress WUS. BARD1 binds to WUS promoter and over expression of BARD reduces the extent of WUS expression.	breast cancer associated RING 1	ATBARD1, BARD1, ROW1
AT1G04590	locus:2197783	AT1G04590	""	2915	Chr1	1258556	1261470	A. thaliana	PPR containing-like protein;(source:Araport11)	""	""	""
AT1G06280	locus:2038530	LBD2	LOB domain-containing protein 2	643	Chr1	1920307	1920949	A. thaliana	LOB domain-containing protein 2;(source:Araport11)	""	LOB domain-containing protein 2	LBD2
AT1G06690	locus:2009120	AT1G06690	""	2771	Chr1	2049400	2052170	A. thaliana	NAD(P)-linked oxidoreductase superfamily protein;(source:Araport11)	""	NAD(P)-linked oxidoreductase superfamily protein	""
AT1G06720	locus:2033050	AT1G06720	""	7040	Chr1	2060444	2067483	A. thaliana	P-loop containing nucleoside triphosphate hydrolases superfamily protein;(source:Araport11)	""	P-loop containing nucleoside triphosphate hydrolases superfamily protein	""
AT1G07040	locus:2007372	AT1G07040	""	2469	Chr1	2160919	2163387	A. thaliana	plant/protein;(source:Araport11)	""	""	""
AT1G07350	locus:2025092	SR45a	serine/arginine rich-like protein 45a	2804	Chr1	2257384	2260187	A. thaliana	RNA-binding (RRM/RBD/RNP motifs) family protein;(source:Araport11)	Encodes a serine/arginine rich-like protein, SR45a. Involved in the regulation of stress-responsive alternative splicing.	RNA-binding (RRM/RBD/RNP motifs) family protein	SR45a
AT1G07630	locus:2026605	PLL5	pol-like 5	2885	Chr1	2348915	2351799	A. thaliana	pol-like 5;(source:Araport11)	Encodes a protein phosphatase 2C  like gene, similar to POL. Involved in leaf development. Knockout mutants have abnormally shaped leaves.	pol-like 5	PLL5
AT1G07650	locus:2026585	AT1G07650	""	7626	Chr1	2359111	2366736	A. thaliana	Leucine-rich repeat transmembrane protein kinase;(source:Araport11)	Leucine-rich repeat receptor-like kinase with extracellular malectin-like domain, which possesses cell death induction activity in plant leaves.	Leucine-rich repeat transmembrane protein kinase	LMK1
AT1G07730	locus:1006589878	AT1G07730	""	1170	Chr1	2397527	2398696	A. thaliana	""	""	""	""
AT1G08260	locus:2199973	TIL1	TILTED 1	18039	Chr1	2588854	2606892	A. thaliana	DNA polymerase epsilon catalytic subunit;(source:Araport11)	Similar to POL2A, DNA polymerase epsilon catalytic subunit. Essential for Arabidopsis growth. Null homozygotes are embryo lethal, partial loss of function alleles show embryo patterning defects such as root pole displacement. Delayed progression through cell cycle results in embryos with smaller numbers of larger cells.	DNA polymerase epsilon catalytic subunit	ABO4, EMB142, EMB2284, EMB529, ESD7, POL2A, TIL1
AT1G08410	locus:2201861	AT1G08410	""	3297	Chr1	2646144	2649440	A. thaliana	P-loop containing nucleoside triphosphate hydrolases superfamily protein;(source:Araport11)	Encodes a large 60S subunit nuclear export GTPase 1 that is required for 40S maturation and is involved in ribosome biogenesis and affects multiple auxin-regulated development processes.	P-loop containing nucleoside triphosphate hydrolases superfamily protein	DIG6, LSG1-2
AT1G08460	locus:2201826	HDA08	histone deacetylase 8	2524	Chr1	2672198	2674721	A. thaliana	histone deacetylase 8;(source:Araport11)	""	histone deacetylase 8	ATHDA8, HDA08, HDA8
AT1G08800	locus:2825149	AT1G08800	""	5254	Chr1	2812818	2818071	A. thaliana	myosin-binding protein (Protein of unknown function, DUF593);(source:Araport11)	""	Protein of unknown function, DUF593	MyoB1
AT1G08820	locus:2025585	VAP27-2	vamp/synaptobrevin-associated protein 27-2	4128	Chr1	2821354	2825481	A. thaliana	vamp/synaptobrevin-associated protein 27-2;(source:Araport11)	Encodes VAP33-like protein that interacts with cowpea mosaic virus protein 60K. Is a SNARE-like protein that may be involved in vesicular transport to or from the ER.	vamp/synaptobrevin-associated protein 27-2	VAP27-2
AT1G08830	locus:2025595	CSD1	copper/zinc superoxide dismutase 1	2256	Chr1	2827060	2829315	A. thaliana	copper/zinc superoxide dismutase 1;(source:Araport11)	Encodes a cytosolic copper/zinc superoxide dismutase CSD1 that can detoxify superoxide radicals.  Its expression is affected by miR398-directed mRNA cleavage. Regulated by biotic and abiotic stress. Activation of CSD1 in the cytoplasm involves both a CCS-dependent and -independent pathway.	copper/zinc superoxide dismutase 1	AtSOD1, CSD1, SOD1
