AT1G01340	locus:2035347	CNGC10	cyclic nucleotide gated channel 10	3655	Chr1	132270	135924	A. thaliana	cyclic nucleotide gated channel 10;(source:Araport11)	member of Cyclic nucleotide gated channel family	cyclic nucleotide gated channel 10	ACBK1, ATCNGC10, CNGC10
AT1G01750	locus:2198175	ADF11	actin depolymerizing factor 11	1123	Chr1	275188	276310	A. thaliana	actin depolymerizing factor 11;(source:Araport11)	""	actin depolymerizing factor 11	ADF11
AT1G01800	locus:2198230	AT1G01800	""	1841	Chr1	293246	295086	A. thaliana	NAD(P)-binding Rossmann-fold superfamily protein;(source:Araport11)	""	NAD(P)-binding Rossmann-fold superfamily protein	""
AT1G02520	locus:2196145	ABCB11	ATP-binding cassette B11	5534	Chr1	523536	529069	A. thaliana	P-glycoprotein 11;(source:Araport11)	Encodes an ATP-binding cassette (ABC) transporter.  Expressed in the vascular tissue of primary stem. The mRNA is cell-to-cell mobile.	P-glycoprotein 11	ABCB11, MDR8, PGP11
AT1G02850	locus:2024685	BGLU11	beta glucosidase 11	3047	Chr1	630374	633420	A. thaliana	beta glucosidase 11;(source:Araport11)	""	beta glucosidase 11	BGLU11
AT1G03190	locus:2014525	UVH6	ULTRAVIOLET HYPERSENSITIVE 6	4536	Chr1	775527	780062	A. thaliana	RAD3-like DNA-binding helicase protein;(source:Araport11)	UV damage and heat induce a common stress response in plants that leads to tissue death and reduced chloroplast function. The UVH6 product is suggested to be a negative regulator of this response.	RAD3-like DNA-binding helicase protein	ATXPD, UVH6
AT1G03220	locus:2014475	AT1G03220	""	1891	Chr1	786832	788722	A. thaliana	Eukaryotic aspartyl protease family protein;(source:Araport11)	""	Eukaryotic aspartyl protease family protein	SAP2
AT1G03940	locus:2024127	AT1G03940	""	1918	Chr1	1009228	1011145	A. thaliana	HXXXD-type acyl-transferase family protein;(source:Araport11)	""	HXXXD-type acyl-transferase family protein	""
AT1G04410	locus:2018244	c-NAD-MDH1	cytosolic-NAD-dependent malate dehydrogenase 1	2464	Chr1	1188995	1191458	A. thaliana	Lactate/malate dehydrogenase family protein;(source:Araport11)	predicted to encode a cytosolic malate dehydrogenase.	Lactate/malate dehydrogenase family protein	c-NAD-MDH1
AT1G04960	locus:2010602	AT1G04960	""	3162	Chr1	1407772	1410933	A. thaliana	golgin family A protein (DUF1664);(source:Araport11)	""	Protein of unknown function (DUF1664)	""
AT1G05310	locus:2207245	AT1G05310	""	2085	Chr1	1550503	1552587	A. thaliana	Pectin lyase-like superfamily protein;(source:Araport11)	""	Pectin lyase-like superfamily protein	""
AT1G05840	locus:2198753	AT1G05840	""	3550	Chr1	1762734	1766283	A. thaliana	Eukaryotic aspartyl protease family protein;(source:Araport11)	""	Eukaryotic aspartyl protease family protein	""
AT1G06180	locus:2038520	MYB13	myb domain protein 13	1915	Chr1	1889362	1891276	A. thaliana	myb domain protein 13;(source:Araport11)	member of MYB3R- and R2R3- type MYB- encoding genes	myb domain protein 13	ATMYB13, ATMYBLFGN, MYB13
AT1G07740	locus:2026560	AT1G07740	""	3067	Chr1	2397442	2400508	A. thaliana	Tetratricopeptide repeat (TPR)-like superfamily protein;(source:Araport11)	""	Tetratricopeptide repeat (TPR)-like superfamily protein	""
AT1G07745	locus:2825233	RAD51D	homolog of RAD51 D	2354	Chr1	2400589	2402942	A. thaliana	DNA repair RAD51-like protein;(source:Araport11)	Is a suppressor of SNI1. Encodes a member of the RecA/RAD51 family of DNA recombination and repair proteins. Both RAD51 and SNI1 have a dual role in pathogen-related gene transcription and somatic homologous recombination.	homolog of RAD51 D	ATRAD51D, RAD51D, SSN1
AT1G08030	locus:2205135	TPST	tyrosylprotein sulfotransferase	3919	Chr1	2489409	2493327	A. thaliana	tyrosylprotein sulfotransferase;(source:Araport11)	Encodes a tyrosylprotein sulfotransferase (TPST). This protein is a 500-aa type I transmembrane protein that shows no sequence similarity to animal TPSTs. Activity confirmed by protein expression in yeast.  TPST is expressed throughout the plant body, and the highest levels of expression are in the root apical meristem. TPST acts in the auxin pathway to maintain postembryonic root stem cell niche by defining the expression of the PLETHORA stem cell transcription factor genes. A loss-of-function mutant TPST displayed a marked dwarf phenotype accompanied by stunted roots, pale green leaves, reduction in higher order veins, early senescence, and a reduced number of flowers and siliques. TPST  suppresses ethylene production through the action of PSK (phytosulfokine).	tyrosylprotein sulfotransferase	AQC1, HPS7, TPST
AT1G08125	locus:1006230779	AT1G08125	""	2749	Chr1	2539614	2542362	A. thaliana	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein;(source:Araport11)	""	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	""
AT1G08450	locus:2201816	CRT3	calreticulin 3	4160	Chr1	2667798	2671957	A. thaliana	calreticulin 3;(source:Araport11)	Encodes one of three Arabidopsis calreticulins.   In CRT-deficient mouse fibroblasts, this protein restores ER Ca2+ levels. Non-receptor component required for EFR-mediated immunity. Mutants show de-repressed anthocyanin accumulation in the  presence of elf18, and EFR accumulation and signalling.	calreticulin 3	AtCRT3, CRT3, EBS2, PSL1
AT1G08730	locus:2025535	XIC	""	9040	Chr1	2779438	2788477	A. thaliana	Myosin family protein with Dil domain-containing protein;(source:Araport11)	Encodes a class XI myosin that is involved in organelle motility, actin organization, and optimal growth of pollen tubes.	Myosin family protein with Dil domain	ATXIC, XIC
AT1G09010	locus:2036094	AT1G09010	""	4281	Chr1	2895166	2899446	A. thaliana	glycoside hydrolase family 2 protein;(source:Araport11)	""	glycoside hydrolase family 2 protein	""
AT1G09080	locus:2035994	BIP3	binding protein 3	2634	Chr1	2929217	2931850	A. thaliana	Heat shock protein 70 (Hsp 70) family protein;(source:Araport11)	""	Heat shock protein 70 (Hsp 70) family protein	BIP3
AT1G09220	locus:2195321	AT1G09220	""	1675	Chr1	2977792	2979466	A. thaliana	Pentatricopeptide repeat (PPR) superfamily protein;(source:Araport11)	""	Pentatricopeptide repeat (PPR) superfamily protein	""
AT1G09330	locus:2203023	AT1G09330	""	2517	Chr1	3012739	3015255	A. thaliana	golgi apparatus membrane protein-like protein ECHIDNA protein;(source:Araport11)	ECHIDNA localizes to the TGN, and has been shown to function in the vacuolar sorting pathway of cell wall components ,mucilage, and wax.	""	ECH
