# cluster_name	protein_number	swiss_prot_id	go_annotation	protein_list
cluster91	16	N/A	N/A	Artocaprus_hirsutus|Arthir44110;Artocaprus_hirsutus|Arthir18541;Artocaprus_hirsutus|Arthir8161;Artocaprus_hirsutus|Arthir13143;Artocaprus_hirsutus|Arthir13590;Artocaprus_hirsutus|Arthir15177;Artocaprus_hirsutus|Arthir28872;Artocaprus_hirsutus|Arthir39814;Artocaprus_hirsutus|Arthir43556;Artocaprus_hirsutus|Arthir7267;Artocaprus_hirsutus|Arthir1075;Artocaprus_hirsutus|Arthir1077;Artocaprus_hirsutus|Arthir43627;Artocaprus_hirsutus|Arthir42087;Artocaprus_hirsutus|Arthir33345;Artocaprus_hirsutus|Arthir29175
cluster659	8	N/A	N/A	Artocaprus_hirsutus|Arthir18445;Artocaprus_hirsutus|Arthir10215;Artocaprus_hirsutus|Arthir11764;Artocaprus_hirsutus|Arthir31742;Artocaprus_hirsutus|Arthir35937;Artocaprus_hirsutus|Arthir41654;Artocaprus_hirsutus|Arthir4376;Artocaprus_hirsutus|Arthir45308
cluster1324	8	N/A	N/A	Artocaprus_hirsutus|Arthir42874;Artocaprus_hirsutus|Arthir18637;Artocaprus_hirsutus|Arthir20127;Artocaprus_hirsutus|Arthir21013;Artocaprus_hirsutus|Arthir23153;Artocaprus_hirsutus|Arthir30961;Artocaprus_hirsutus|Arthir35325;Artocaprus_hirsutus|Arthir48
cluster1327	7	N/A	N/A	Artocaprus_hirsutus|Arthir8237;Artocaprus_hirsutus|Arthir15997;Artocaprus_hirsutus|Arthir15998;Artocaprus_hirsutus|Arthir41786;Artocaprus_hirsutus|Arthir16000;Artocaprus_hirsutus|Arthir24016;Artocaprus_hirsutus|Arthir16001
cluster1340	7	N/A	N/A	Artocaprus_hirsutus|Arthir17288;Artocaprus_hirsutus|Arthir40993;Artocaprus_hirsutus|Arthir17287;Artocaprus_hirsutus|Arthir40991;Artocaprus_hirsutus|Arthir40992;Artocaprus_hirsutus|Arthir356;Artocaprus_hirsutus|Arthir17286
cluster1359	7	N/A	N/A	Artocaprus_hirsutus|Arthir8525;Artocaprus_hirsutus|Arthir12681;Artocaprus_hirsutus|Arthir34635;Artocaprus_hirsutus|Arthir34822;Artocaprus_hirsutus|Arthir43469;Artocaprus_hirsutus|Arthir6129;Artocaprus_hirsutus|Arthir9554
cluster2846	7	N/A	N/A	Artocaprus_hirsutus|Arthir40892;Artocaprus_hirsutus|Arthir13557;Artocaprus_hirsutus|Arthir14781;Artocaprus_hirsutus|Arthir38094;Artocaprus_hirsutus|Arthir18393;Artocaprus_hirsutus|Arthir18524;Artocaprus_hirsutus|Arthir33705
cluster4993	6	N/A	N/A	Artocaprus_hirsutus|Arthir12371;Artocaprus_hirsutus|Arthir314;Artocaprus_hirsutus|Arthir315;Artocaprus_hirsutus|Arthir38365;Artocaprus_hirsutus|Arthir12372;Artocaprus_hirsutus|Arthir402
cluster4994	6	P19041	GO:0055114; P:oxidation-reduction process; IEA:UniProtKB-KW	Artocaprus_hirsutus|Arthir44247;Artocaprus_hirsutus|Arthir25694;Artocaprus_hirsutus|Arthir28755;Artocaprus_hirsutus|Arthir6910;Artocaprus_hirsutus|Arthir20549;Artocaprus_hirsutus|Arthir6912
cluster5017	5	N/A	N/A	Artocaprus_hirsutus|Arthir15320;Artocaprus_hirsutus|Arthir14177;Artocaprus_hirsutus|Arthir3235;Artocaprus_hirsutus|Arthir7562;Artocaprus_hirsutus|Arthir7830
cluster5020	5	N/A	N/A	Artocaprus_hirsutus|Arthir33711;Artocaprus_hirsutus|Arthir11593;Artocaprus_hirsutus|Arthir3668;Artocaprus_hirsutus|Arthir41351;Artocaprus_hirsutus|Arthir42231
cluster5027	5	Q7G764	GO:0016491; F:oxidoreductase activity; IBA:GO_Central	Artocaprus_hirsutus|Arthir26948;Artocaprus_hirsutus|Arthir12464;Artocaprus_hirsutus|Arthir33749;Artocaprus_hirsutus|Arthir36029;Artocaprus_hirsutus|Arthir6313
cluster5046	5	Q9FI14	GO:0007165; P:signal transduction; IEA:InterPro	Artocaprus_hirsutus|Arthir41449;Artocaprus_hirsutus|Arthir19619;Artocaprus_hirsutus|Arthir25195;Artocaprus_hirsutus|Arthir40562;Artocaprus_hirsutus|Arthir38057
cluster7948	5	Q9M2N5	GO:0009791; P:post-embryonic development; IMP:TAIR	Artocaprus_hirsutus|Arthir16545;Artocaprus_hirsutus|Arthir40166;Artocaprus_hirsutus|Arthir6896;Artocaprus_hirsutus|Arthir29764;Artocaprus_hirsutus|Arthir1426
cluster7977	4	N/A	N/A	Artocaprus_hirsutus|Arthir8851;Artocaprus_hirsutus|Arthir11336;Artocaprus_hirsutus|Arthir33332;Artocaprus_hirsutus|Arthir20643
cluster7979	4	N/A	N/A	Artocaprus_hirsutus|Arthir32534;Artocaprus_hirsutus|Arthir19648;Artocaprus_hirsutus|Arthir2625;Artocaprus_hirsutus|Arthir8911
